gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,Churn,avg_charge_per_month,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
0,0,1,0,13,1,1,1,1,1,0,1,1,0,1,76.2,0,70.10357142857143,0,0,0,1,0
0,0,0,0,49,1,1,1,0,0,0,0,0,1,1,84.5,0,78.134,0,0,0,1,0
1,0,0,0,2,1,0,1,0,1,0,0,0,0,0,49.25,0,32.333333333333336,0,0,0,0,1
0,0,0,0,2,1,0,1,0,0,0,0,1,0,1,80.65,1,48.050000000000004,0,0,0,1,0
1,0,0,0,52,1,1,1,1,0,0,1,1,1,1,79.75,0,79.5811320754717,0,1,1,0,0
0,0,1,1,69,1,1,1,1,0,1,1,0,0,1,64.15,0,60.77285714285715,0,1,1,0,0
0,1,0,0,43,1,1,1,0,1,0,0,1,0,1,90.25,0,87.24431818181819,0,0,0,1,0
0,0,0,0,15,1,0,1,1,1,0,0,1,1,1,99.1,1,89.15,0,0,1,0,0
0,1,1,0,25,1,1,1,1,0,0,1,1,0,1,69.5,0,67.40961538461539,0,0,1,0,0
0,1,1,0,8,1,1,1,0,1,0,0,0,0,1,80.65,1,70.36666666666666,0,0,1,0,0
0,1,1,1,60,1,0,1,1,1,1,1,0,1,1,74.85,0,73.05491803278689,1,0,1,0,0
1,1,0,0,18,1,1,1,0,0,0,0,1,1,1,95.45,1,92.23947368421052,0,0,0,1,0
0,0,1,1,63,1,1,1,1,0,0,0,1,1,1,99.65,0,98.6125,1,0,1,0,0
1,1,1,1,66,1,1,1,0,1,1,1,1,1,1,108.45,0,105.61716417910448,1,0,0,1,0
0,0,1,1,34,1,1,0,0,0,0,0,0,0,0,24.95,0,25.55142857142857,0,1,1,0,0
0,0,0,0,72,1,1,1,0,0,1,1,1,1,1,107.5,0,107.58493150684932,0,1,1,0,0
0,0,1,0,47,1,1,1,0,0,1,0,1,1,1,100.5,0,98.06458333333335,0,0,0,1,0
1,0,0,0,60,1,1,1,0,1,0,0,1,0,1,89.9,0,89.35573770491803,0,0,0,0,0
1,0,1,0,72,0,0,1,1,1,1,0,0,0,0,42.1,0,40.57534246575342,0,1,0,0,0
0,0,1,1,18,1,0,1,0,0,1,1,0,0,1,54.4,0,50.373684210526314,1,0,1,0,0
0,0,0,0,9,1,1,1,0,0,0,0,1,1,0,94.4,1,85.725,0,0,0,1,0
0,0,0,0,3,1,0,1,0,1,0,1,1,1,1,75.3,0,61.025,0,0,0,1,0
1,0,1,0,47,1,1,1,0,1,0,0,0,0,1,78.9,0,76.04895833333333,1,0,0,1,0
0,0,0,0,31,1,0,1,0,1,1,1,1,1,0,79.2,0,78.0375,0,1,0,0,1
0,0,1,1,50,1,0,0,0,0,0,0,0,0,0,20.15,0,18.25294117647059,0,1,0,0,0
1,0,0,0,10,1,0,1,1,0,1,0,0,0,1,79.85,0,80.66818181818182,0,0,0,0,1
1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,49.05,0,24.525,0,0,0,0,1
0,0,1,1,52,1,0,0,0,0,0,0,0,0,1,20.4,0,20.578301886792456,1,0,0,1,0
1,1,1,1,64,1,1,1,1,0,1,1,1,1,1,111.6,0,109.21538461538462,0,1,0,0,0
1,0,1,1,62,1,1,0,0,0,0,0,0,0,1,24.25,0,22.61269841269841,0,1,0,0,0
0,0,0,1,3,1,0,1,1,0,0,1,0,1,1,64.5,0,44.35,0,0,0,0,0
0,1,0,0,56,1,1,1,1,1,1,0,1,1,0,110.5,0,107.71052631578948,1,0,0,1,0
0,0,0,0,46,1,0,1,0,0,0,0,0,1,0,55.65,0,57.2095744680851,1,0,1,0,0
0,0,1,1,8,1,0,1,1,1,0,0,0,0,0,54.65,0,53.583333333333336,0,0,0,0,1
1,1,0,0,30,1,0,1,1,1,0,0,1,1,1,74.75,0,68.10645161290323,0,0,0,1,0
0,0,1,1,45,1,1,0,0,0,0,0,0,0,1,25.9,0,26.44782608695652,1,0,1,0,0
0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,79.35,1,39.675,0,0,0,1,0
0,0,1,1,11,0,0,1,1,0,0,0,1,1,0,50.55,0,47.112500000000004,0,0,0,1,0
0,0,1,0,7,1,0,1,0,0,1,0,0,0,1,75.15,1,62.1125,0,0,0,0,0
0,0,0,0,42,1,0,1,0,1,1,1,1,1,1,103.8,0,100.63953488372093,0,0,0,0,0
0,0,1,0,49,1,0,0,0,0,0,0,0,0,1,20.15,0,19.467,0,1,0,0,0
1,0,0,0,9,1,1,1,0,1,0,0,1,1,1,99.3,0,91.875,0,0,1,0,0
0,0,1,0,35,1,0,1,1,0,0,0,1,0,1,62.15,0,61.540277777777774,1,0,0,0,0
0,0,1,1,48,1,0,0,0,0,0,0,0,0,0,20.65,0,21.571428571428573,0,1,0,0,0
0,0,1,1,46,1,0,0,0,0,0,0,0,0,1,19.95,0,19.72553191489362,0,1,0,0,1
1,0,1,0,29,0,0,1,0,0,0,0,1,0,0,33.75,0,33.641666666666666,0,0,0,0,1
1,0,1,1,30,1,0,1,0,1,1,0,0,0,0,82.05,0,82.90967741935484,0,0,0,0,0
1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,74.7,0,37.35,0,0,0,1,0
1,0,1,1,66,1,1,1,1,0,1,1,1,1,1,84.0,0,85.28731343283582,0,1,0,0,1
0,0,0,0,65,1,1,1,1,1,1,0,1,1,1,111.05,0,107.68181818181819,0,0,1,0,0
1,0,0,0,72,1,1,1,0,1,1,0,1,1,1,100.9,0,102.17876712328767,0,1,0,0,0
0,0,0,0,12,1,1,1,1,0,0,0,0,0,1,78.95,1,71.33461538461539,0,0,0,1,0
1,0,1,1,71,1,1,1,1,1,0,1,0,0,1,66.85,0,65.95416666666667,1,0,1,0,0
1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,21.05,1,18.974999999999998,0,0,0,0,1
1,0,0,0,52,1,0,0,0,0,0,0,0,0,0,21.0,0,20.89056603773585,0,1,0,0,0
0,1,1,0,25,1,0,1,0,1,1,0,1,1,1,98.5,1,96.71153846153847,0,0,0,1,0
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,20.2,0,10.1,0,0,0,0,1
0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,19.45,0,9.725,0,0,0,1,0
1,0,0,0,38,1,1,1,0,0,1,1,1,0,0,95.0,0,92.45128205128205,1,0,0,0,0
0,1,1,0,66,0,0,1,0,1,1,0,1,0,0,45.55,0,45.18283582089552,1,0,0,0,0
1,0,1,0,68,1,1,1,0,1,1,1,1,1,1,110.0,1,110.31666666666668,0,1,0,0,0
1,0,0,0,5,0,0,1,0,0,0,0,0,0,0,24.3,0,16.7,0,0,0,0,1
0,0,1,1,72,1,1,1,1,1,0,0,1,1,1,104.15,0,100.04178082191781,1,0,0,1,0
0,0,0,0,32,0,0,1,1,0,0,0,0,0,0,30.15,0,28.11060606060606,1,0,0,0,1
1,0,0,0,43,1,1,1,0,0,0,0,1,1,0,94.35,0,89.12045454545455,1,0,0,0,1
1,0,1,1,72,1,0,0,0,0,0,0,0,0,0,19.4,0,18.674657534246574,0,1,1,0,0
1,0,1,0,55,1,1,1,1,1,0,0,1,0,1,96.75,1,93.55178571428571,0,0,0,1,0
0,0,0,0,52,1,0,1,1,0,1,1,0,0,0,57.95,0,57.40094339622642,1,0,1,0,0
0,0,0,0,43,1,0,1,0,1,1,0,1,0,1,91.65,0,89.86590909090908,0,0,0,1,0
0,1,1,0,37,1,1,1,0,0,0,0,0,0,1,76.5,1,75.47763157894737,0,0,0,1,0
0,0,1,1,64,0,0,1,0,1,0,1,1,1,1,54.6,0,52.66923076923077,0,1,0,1,0
1,0,1,1,3,1,0,1,1,1,0,0,1,0,0,89.85,0,62.1,0,0,0,1,0
0,0,0,0,36,0,0,1,1,0,0,0,0,0,0,31.05,0,30.44189189189189,0,1,0,0,0
0,0,1,1,10,1,1,1,1,0,0,0,1,1,1,100.25,1,96.78636363636365,0,0,0,1,0
0,0,0,0,41,1,0,0,0,0,0,0,0,0,0,20.65,0,19.88452380952381,0,1,0,0,1
1,0,1,1,27,1,1,1,0,1,0,1,0,0,1,85.2,0,76.84285714285714,0,0,1,0,0
0,0,1,1,56,1,1,1,0,0,1,0,1,1,1,99.8,0,96.76228070175438,1,0,1,0,0
0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,20.7,0,16.107142857142858,0,0,0,0,1
1,0,0,0,3,1,1,1,0,0,0,0,0,0,1,74.4,1,57.3875,0,0,0,1,0
0,0,1,1,7,1,0,1,1,0,0,0,0,0,0,50.7,0,43.79375,0,0,0,0,1
0,0,1,1,4,1,0,0,0,0,0,0,0,0,0,20.85,0,12.58,0,0,0,0,1
1,0,0,0,33,1,0,1,1,0,0,1,1,0,1,88.95,0,89.0485294117647,0,1,0,1,0
0,1,0,0,27,1,1,1,0,0,1,0,0,0,1,78.05,1,76.26785714285714,0,0,0,1,0
1,0,1,0,72,1,1,0,0,0,0,0,0,0,1,23.55,0,23.615753424657534,0,1,0,0,0
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,19.75,0,9.875,0,0,0,0,1
1,1,0,0,71,0,0,1,1,1,0,0,1,1,1,56.45,0,55.35208333333333,1,0,0,1,0
0,0,0,0,13,1,1,1,0,0,0,0,0,1,1,85.95,0,86.83214285714287,0,0,0,1,0
0,0,1,1,25,0,0,1,1,1,1,0,1,1,1,58.6,1,57.79423076923077,0,0,1,0,0
1,0,0,0,67,1,0,1,0,0,0,1,0,0,0,50.55,0,47.942647058823525,0,1,0,0,0
1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,35.45,1,17.725,0,0,0,1,0
1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,44.35,1,27.083333333333332,0,0,0,1,0
0,0,0,0,43,1,1,0,0,0,0,0,0,0,1,25.7,0,27.004545454545454,0,1,1,0,0
0,0,0,0,23,1,0,1,1,0,0,0,0,0,1,75.0,0,74.10416666666667,0,0,0,0,0
0,0,1,1,64,1,0,0,0,0,0,0,0,0,0,20.2,0,19.657692307692308,0,1,0,0,1
1,0,0,1,57,1,0,0,0,0,0,0,0,0,1,19.6,0,20.181896551724137,0,1,0,0,1
0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,70.45,1,35.225,0,0,0,0,1
0,1,1,1,72,1,1,1,1,1,1,1,1,1,1,88.05,0,88.02260273972603,0,1,1,0,0
0,0,0,0,8,1,1,1,1,0,0,1,0,1,0,71.15,1,62.62777777777777,0,0,0,1,0
0,0,1,0,61,1,1,1,0,1,0,0,1,1,1,101.05,0,96.31048387096774,0,1,0,0,0
1,0,0,0,64,1,1,1,1,1,0,0,0,0,1,84.3,0,81.37,1,0,1,0,0
1,1,1,0,71,1,1,0,0,0,0,0,0,0,0,23.95,0,24.391666666666666,0,1,0,0,0
0,0,1,1,65,1,1,1,1,1,0,1,1,0,1,99.05,0,97.22272727272727,0,1,1,0,0
1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,19.6,0,15.3375,1,0,0,0,1
1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,45.65,1,22.825,0,0,0,1,0
1,0,0,1,30,1,0,1,0,1,1,0,1,0,0,64.5,0,62.25645161290323,1,0,1,0,0
1,0,1,1,15,1,0,1,0,1,1,1,0,1,1,69.5,0,66.9625,0,0,0,0,1
0,0,1,1,8,1,0,1,0,0,0,1,1,1,1,68.55,0,62.705555555555556,0,0,0,1,0
1,0,0,0,7,1,1,1,0,0,0,0,1,1,0,95.0,1,81.9375,0,0,0,0,1
0,0,1,1,70,1,1,1,1,1,1,0,1,1,1,108.15,0,111.69788732394366,1,0,1,0,0
1,0,1,1,62,1,0,1,1,1,1,1,1,1,0,86.1,0,82.78174603174604,0,1,0,1,0
0,0,1,1,6,1,0,0,0,0,0,0,0,0,0,19.7,0,16.214285714285715,0,0,0,0,1
0,0,1,1,14,1,0,1,0,0,0,0,0,1,1,80.9,0,76.85333333333332,0,0,0,0,0
0,0,0,0,22,1,1,1,0,0,0,0,1,0,1,84.15,0,79.21521739130435,0,0,0,0,0
1,0,1,1,22,1,0,0,0,0,0,0,0,0,0,20.15,0,18.256521739130434,1,0,0,0,1
1,0,1,1,16,1,0,1,1,0,1,0,1,0,0,64.25,0,60.23529411764706,0,1,0,0,1
1,0,0,0,10,1,1,0,0,0,0,0,0,0,0,25.7,0,22.87272727272727,0,1,0,0,0
0,0,0,1,13,1,0,1,1,1,0,0,0,0,1,56.0,0,54.61071428571428,0,0,0,1,0
0,0,1,0,20,1,1,1,1,0,0,0,0,0,0,82.4,1,75.82619047619048,0,0,0,1,0
0,0,0,0,2,1,0,1,0,0,0,0,0,0,1,69.7,0,45.06666666666666,0,0,0,1,0
1,0,0,0,53,1,1,1,0,1,1,1,0,1,1,73.9,0,73.30092592592592,0,1,0,0,0
0,0,1,1,11,1,0,0,0,0,0,0,0,0,0,20.6,0,19.491666666666667,1,0,0,0,1
1,0,1,0,69,1,0,0,0,0,0,0,0,0,0,19.9,0,19.477857142857143,0,1,0,0,1
0,0,0,0,4,1,0,1,0,0,0,0,0,0,1,70.9,1,54.6,0,0,0,0,0
1,0,1,0,72,1,1,1,1,1,1,1,1,1,1,89.05,0,85.67739726027396,0,1,0,0,0
1,1,1,0,58,0,0,1,0,1,1,0,0,1,1,45.3,1,44.93559322033898,0,0,0,1,0
0,0,1,1,16,1,0,0,0,0,0,0,0,0,0,20.4,0,18.905882352941177,0,0,0,1,0
1,0,1,0,43,1,0,1,1,0,1,1,0,0,1,84.25,0,80.4375,1,0,0,0,0
0,0,1,0,2,1,1,1,0,0,1,1,1,1,1,104.4,1,80.93333333333334,0,0,0,1,0
1,0,1,0,14,1,0,1,0,1,1,1,1,1,0,81.95,0,78.78333333333333,0,1,0,0,1
0,0,1,0,53,1,0,1,0,0,1,0,1,1,1,94.85,1,92.59629629629629,1,0,0,0,0
0,0,0,0,32,1,0,0,0,0,0,0,0,0,0,20.55,0,19.834848484848482,1,0,0,0,0
0,0,1,0,34,1,1,0,0,0,0,0,0,0,0,24.7,0,22.291428571428572,0,0,0,1,0
0,1,0,0,15,1,1,1,0,0,0,0,0,0,1,74.45,1,71.60625,0,0,0,0,1
0,1,0,0,7,1,0,1,1,0,0,0,0,0,0,76.45,1,62.95,0,0,0,0,0
0,0,1,1,15,1,1,1,0,1,1,0,1,1,1,105.35,0,97.453125,0,0,0,0,0
1,0,1,0,61,1,0,0,0,0,0,0,0,0,1,20.55,0,20.193548387096776,1,0,1,0,0
0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,29.95,1,14.975,0,0,0,0,0
0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,45.3,0,22.65,0,0,0,0,1
1,0,0,0,8,1,1,1,0,0,0,0,0,1,0,84.5,1,73.62777777777778,0,0,0,0,0
1,0,1,1,33,1,0,1,1,0,1,0,1,1,0,74.75,0,72.15588235294118,1,0,1,0,0
0,0,0,0,13,1,0,1,0,1,1,0,0,0,1,79.25,1,79.40357142857144,0,0,0,1,0
0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,24.8,1,12.4,0,0,0,1,0
1,0,0,0,20,1,0,1,0,1,0,0,0,0,1,51.8,0,48.75476190476191,0,0,0,0,1
1,0,0,0,3,0,0,1,0,0,0,1,0,0,0,30.4,0,20.5375,0,0,0,1,0
0,0,0,0,13,1,0,0,0,0,0,0,0,0,0,19.65,0,17.485714285714288,1,0,0,1,0
0,0,1,0,40,1,1,1,0,1,0,0,0,0,0,56.6,0,58.02682926829268,0,0,1,0,0
1,0,1,1,43,1,1,1,1,0,0,1,0,1,1,71.9,0,72.12159090909091,1,0,1,0,0
1,0,1,0,6,1,0,1,0,1,1,0,0,1,1,91.0,1,75.85714285714286,0,0,0,1,0
0,0,1,1,69,1,0,0,0,0,0,0,0,0,0,19.75,0,19.64857142857143,0,1,0,0,0
0,0,1,1,72,1,1,1,1,1,1,0,1,1,0,109.7,0,111.36027397260274,0,1,1,0,0
1,0,1,1,59,1,0,0,0,0,0,0,0,0,0,19.3,0,19.878333333333334,0,1,1,0,0
0,0,1,0,20,1,0,1,1,1,0,1,1,0,1,96.55,0,90.5547619047619,0,0,0,1,0
1,0,1,1,24,1,1,0,0,0,0,0,0,0,1,24.1,0,23.496,0,1,0,0,0
1,0,0,0,59,1,1,1,0,1,1,1,1,1,1,111.35,0,108.6625,0,0,0,1,0
1,0,1,1,72,1,1,1,0,1,1,1,1,1,1,112.25,0,110.15958904109588,0,1,0,0,0
1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,20.75,0,10.375,0,0,0,0,1
0,0,1,0,27,1,0,1,1,0,0,1,1,1,1,101.9,0,95.75535714285715,1,0,1,0,0
0,0,0,0,14,1,0,1,0,1,0,1,0,0,1,80.05,0,74.15333333333334,0,0,1,0,0
1,0,1,1,71,1,1,1,1,0,1,0,1,1,0,105.55,0,102.85416666666667,0,1,0,1,0
1,0,0,1,13,1,0,1,0,0,0,0,1,0,1,78.3,0,73.85357142857143,0,0,1,0,0
1,0,0,0,44,1,0,1,0,0,0,0,0,0,0,68.85,0,65.75444444444445,0,0,1,0,0
0,0,0,0,33,1,0,1,0,1,0,1,0,0,1,79.95,0,78.96617647058824,1,0,0,0,0
1,0,1,1,72,0,0,1,1,1,1,1,0,1,1,55.45,0,57.249315068493146,0,1,1,0,0
1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,79.9,1,39.95,0,0,0,1,0
0,0,0,0,19,1,0,1,1,0,1,1,1,1,1,106.6,1,96.7225,0,0,0,1,0
1,0,1,0,64,1,0,1,0,1,1,1,1,1,1,102.45,0,102.37076923076924,1,0,1,0,0
1,0,0,0,2,1,0,1,0,0,0,0,0,0,1,46.0,1,28.166666666666668,0,0,1,0,0
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,25.25,0,12.625,0,0,0,1,0
1,0,0,1,61,1,0,0,0,0,0,0,0,0,0,19.75,0,18.13225806451613,0,1,0,0,1
0,0,1,1,29,1,0,0,0,0,0,0,0,0,0,20.0,0,18.001666666666665,1,0,0,1,0
1,1,1,0,23,1,1,1,0,0,0,0,0,1,0,86.8,0,82.32708333333333,0,0,0,1,0
0,0,1,0,57,0,0,1,1,1,1,0,1,1,1,58.75,0,59.266379310344824,0,0,0,0,0
1,0,1,1,72,0,0,1,1,1,1,1,0,0,0,45.25,0,43.01095890410959,0,1,1,0,0
1,0,1,0,66,0,0,1,1,1,1,1,1,0,1,56.6,0,56.55522388059701,0,1,0,0,0
1,0,1,1,65,1,1,1,0,1,1,1,1,1,1,84.2,0,80.67424242424242,0,1,0,0,0
0,0,0,0,8,1,0,1,0,0,0,0,1,0,1,80.0,0,69.4,0,0,0,0,0
0,0,0,0,4,1,0,1,0,0,0,0,0,0,1,70.15,1,53.67,0,0,0,1,0
0,0,1,0,71,1,1,0,0,0,0,0,0,0,0,24.75,0,25.512500000000003,0,1,0,0,0
1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,20.2,0,10.1,1,0,0,1,0
1,0,1,0,4,1,0,1,0,0,0,1,0,0,0,50.05,1,35.87,0,0,0,0,1
0,0,0,0,12,1,0,0,0,0,0,0,0,0,1,19.35,0,16.873076923076923,1,0,0,0,0
1,0,0,0,24,0,0,1,1,0,0,0,1,1,1,50.6,0,51.55,1,0,0,0,1
0,0,1,1,31,1,0,1,1,0,1,1,1,1,1,81.15,0,79.5546875,1,0,0,0,1
0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,55.2,1,27.6,0,0,0,0,1
1,0,0,0,30,1,1,1,0,0,0,1,0,1,1,89.9,0,87.84354838709677,0,0,1,0,0
0,0,1,1,47,1,1,1,1,1,0,1,1,1,1,85.3,0,85.56770833333333,0,1,1,0,0
1,0,0,0,54,1,1,1,1,1,0,1,1,1,1,108.0,0,104.7390909090909,0,1,1,0,0
1,0,0,0,50,1,0,1,1,1,0,1,0,1,1,93.5,0,93.08823529411765,0,0,1,0,0
1,0,0,0,1,1,0,1,1,0,0,0,0,1,1,84.6,1,42.3,0,0,0,0,1
0,0,0,0,72,1,0,0,0,0,0,0,0,0,0,20.25,0,21.464383561643835,0,1,1,0,0
0,0,0,0,29,1,1,0,0,0,0,0,0,0,0,25.15,0,23.4,0,0,0,1,0
1,0,0,0,2,1,1,1,0,1,0,0,0,0,1,54.4,1,38.03333333333333,0,0,0,0,1
0,0,0,0,10,0,0,1,0,0,0,1,0,0,1,29.6,0,27.186363636363637,0,1,0,0,1
1,0,1,0,18,1,1,1,0,0,0,0,0,0,1,73.15,0,68.73421052631579,0,0,0,1,0
0,1,0,0,11,1,0,1,0,1,0,0,1,1,1,95.0,1,93.35833333333333,0,0,0,1,0
1,0,0,0,16,1,0,0,0,0,0,0,0,0,0,19.75,0,16.726470588235294,0,1,0,0,1
0,0,0,0,72,1,1,1,0,1,1,1,1,1,0,86.6,0,86.9931506849315,0,1,0,0,0
1,0,0,0,72,1,1,1,0,1,1,1,1,1,0,109.2,0,107.92191780821918,0,1,0,0,0
0,0,1,1,41,1,0,1,1,0,0,1,1,1,1,74.7,0,75.89642857142857,1,0,1,0,0
0,1,1,0,65,1,0,1,1,1,1,0,0,1,0,94.4,0,92.82045454545454,0,0,0,1,0
0,1,0,0,13,1,0,1,0,1,1,0,0,0,1,54.8,0,52.23571428571428,0,0,0,1,0
1,1,0,0,4,1,0,1,1,0,0,0,0,0,0,75.35,0,54.67999999999999,0,0,0,1,0
1,0,0,0,41,1,1,1,0,0,1,0,0,1,0,65.0,0,60.280952380952385,1,0,0,0,1
1,1,0,0,15,1,0,1,0,1,0,0,0,0,1,74.4,1,67.14375,0,0,0,1,0
1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,48.55,1,24.275,0,0,0,0,1
1,0,0,0,42,1,1,1,1,1,1,0,0,1,1,99.0,0,99.96395348837208,1,0,0,1,0
0,0,1,0,51,1,0,1,1,1,1,0,1,0,1,93.5,0,88.8375,1,0,0,1,0
0,0,1,1,2,1,0,1,0,0,0,0,0,0,0,70.4,1,49.050000000000004,0,0,0,1,0
1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,40.2,1,20.1,0,0,0,1,0
1,0,0,1,32,1,1,1,0,1,1,1,1,1,0,83.7,0,79.7969696969697,1,0,1,0,0
1,0,0,0,10,1,0,0,0,0,0,0,0,0,1,19.85,0,17.55,0,0,0,0,1
0,0,1,1,67,0,0,1,0,1,1,1,1,1,1,59.55,0,60.35147058823529,0,1,0,1,0
0,0,1,1,61,1,1,1,1,1,1,1,1,1,0,115.1,0,113.03467741935484,0,1,1,0,0
